Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[2, 6]",H,"[2, 6, 10]",18,10,[10. 10.],20,L,1075.0,2,1.9
"[111, 5]",H,"[111, 5, 10, 9]",25,8,[8.],8,L,1050.0,0,0
"[10, 111]",PBJ,"[10, 111]",21,10,[10. 10.],20,W,1087.5,-1,-0.5
"[6, 6]",H,"[6, 6, 8]",20,10,[10.  4.  2.  8.],24,W,1112.5,-5,-2.7
"[111, 10]",PBJ,"[111, 10]",21,10,[10.  5.],15,W,1150.0,-2,-1.2
"[2, 10]",H,"[2, 10, 4, 9]",25,10,[10.],10,L,1125.0,-4,-2.5
"[10, 2]",H,"[10, 2, 9]",21,2,[ 2. 10.  6.],18,W,1150.0,-4,-2.6
"[10, 10]",S,"[10, 10]",20,10,[10.  9.],19,W,1175.0,-3,-2.1
"[7, 6]",S,"[7, 6]",13,4,[4. 8. 2. 9.],23,W,1200.0,-6,-4.5
"[8, 10]",S,"[8, 10]",18,10,[10. 10.],20,L,1175.0,-2,-1.7
"[10, 2]",H,"[10, 2, 111, 5]",18,10,[10.  5.  3.],18,P,1175.0,-5,-4.4
"[111, 10]",PBJ,"[111, 10]",21,4,[4. 9.],13,W,1212.5,-4,-4.0
"[8, 3]",D,"[8, 3, 10]",21,10,[10. 10.],20,W,1262.5,0,0
"[10, 10]",S,"[10, 10]",20,111,[111.   7.],18,W,1287.5,-2,-1.1
"[10, 10]",S,"[10, 10]",20,3,[ 3. 10. 10.],23,W,1312.5,-4,-2.2
"[10, 10]",S,"[10, 10]",20,10,[ 10. 111.],21,L,1287.5,-7,-4.0
"[6, 6]",H,"[6, 6, 7]",19,8,[8. 7. 4.],19,P,1287.5,-11,-6.7
"[10, 7]",S,"[10, 7]",17,8,[ 8. 10.],18,L,1262.5,-6,-3.9
"[8, 10]",S,"[8, 10]",18,4,[  4. 111.   6.],21,L,1237.5,-7,-4.8
"[10, 2]",S,"[10, 2]",12,5,[ 5. 10.  6.],21,L,1212.5,-7,-5.1
"[5, 10]",S,"[5, 10]",15,2,[  2. 111.  10.   5.],18,L,1187.5,-6,-4.7
"[6, 3]",H,"[6, 3, 3, 10]",22,10,[10.],10,L,1162.5,-6,-5.2
"[111, 9]",S,"[111, 9]",20,111,[111.   3.  10.   2.   7.],23,W,1187.5,-5,-4.7
"[10, 10]",S,"[10, 10]",20,7,[ 7. 10.],17,W,1212.5,0,0
"[5, 3]",H,"[5, 3, 8, 9]",25,10,[10.],10,L,1187.5,-2,-1.0
"[2, 9]",D,"[2, 9, 6]",17,10,[10.  9.],19,L,1137.5,-1,-0.5
"[10, 10]",S,"[10, 10]",20,5,[ 5.  9. 10.],24,W,1162.5,0,0.0
"[6, 9]",H,"[6, 9, 3]",18,9,[ 9. 10.],19,L,1137.5,-2,-1.2
"[4, 3]",H,"[4, 3, 10]",17,10,[10. 10.],20,L,1112.5,-1,-0.7
"[4, 8]",S,"[4, 8]",12,4,[  4. 111.  10. 111.   2.],18,L,1087.5,-2,-1.4
"[111, 5]",H,"[111, 5, 10, 8]",24,9,[9.],9,L,1062.5,-2,-1.5
"[7, 3]",H,"[7, 3, 6, 4]",20,10,[10. 10.],20,P,1062.5,-3,-2.5
"[7, 8]",H,"[7, 8, 10]",25,8,[8.],8,L,1037.5,-1,-0.9
"[111, 10]",PBJ,"[111, 10]",21,9,[9. 3.],12,W,1075.0,-1,-1.0
"[9, 111]",S,"[9, 111]",20,6,[6. 9. 9.],24,W,1100.0,0,0
"[10, 10]",S,"[10, 10]",20,2,[ 2.  8.  5. 10.],25,W,1125.0,0,0.0
"[3, 111]",H,"[3, 111, 10, 8]",22,10,[10.],10,L,1100.0,-1,-0.6
"[3, 7]",D,"[3, 7, 8]",18,3,[3. 4. 6. 5.],18,P,1100.0,-3,-1.8
"[10, 111]",PBJ,"[10, 111]",21,10,[10.  3.],13,W,1137.5,3,1.9
"[10, 8]",S,"[10, 8]",18,10,[10. 10.],20,L,1112.5,1,0.7
"[6, 4]",D,"[6, 4, 2]",12,7,[7. 2. 7. 6.],22,W,1162.5,-2,-1.4
"[6, 9]",S,"[6, 9]",15,6,[ 6. 10. 10.],26,W,1312.5,5,3.9
